1	购买的level2用不了怎么办	邦我查为什么看不到十档,只有五档了
0	忘记股票账号和密码怎么办	邦我查为什么看不到十档,只有五档了
0	我的持仓页面看不到持有股票的信息	邦我查为什么看不到十档,只有五档了
0	赎回记录为什么查询不到	邦我查为什么看不到十档,只有五档了
0	为什么我看不到论股呢	邦我查为什么看不到十档,只有五档了
1	为什么新股申购数量为零	申购新股为什么总是显示0股
0	新股申购流程	申购新股为什么总是显示0股
0	申购不了新股怎么办	申购新股为什么总是显示0股
0	新股申购要求	申购新股为什么总是显示0股
1	如何购买神奇电波	我怎么购买那个神奇电波
0	付费产品问题	我怎么购买那个神奇电波
0	神奇电波问题	我怎么购买那个神奇电波
0	神奇电波购买之后哪里查看	我怎么购买那个神奇电波
1	基金定投能不能撤单	可以取消要定投的基金吗
0	[机构]能否使用信用卡或存折开户	可以取消要定投的基金吗
0	怎样撤销基金预约赎回	可以取消要定投的基金吗
0	基金撤单后能不能恢复原交易	可以取消要定投的基金吗
0	我想要买基金	可以取消要定投的基金吗
0	定投能不能直接从同花顺钱包扣款	可以取消要定投的基金吗
0	基金撤单如何操作	可以取消要定投的基金吗
0	新发基金认购能不能撤单	可以取消要定投的基金吗
1	购买的神奇电波用不了怎么办	那个红绿电波那个那个软件将现在刚刚订购了为什么现在看不到
0	如何购买神奇电波	那个红绿电波那个那个软件将现在刚刚订购了为什么现在看不到
0	忘记股票账号和密码怎么办	那个红绿电波那个那个软件将现在刚刚订购了为什么现在看不到
0	如何查看科创板行情	那个红绿电波那个那个软件将现在刚刚订购了为什么现在看不到
0	为什么我看不到论股呢	那个红绿电波那个那个软件将现在刚刚订购了为什么现在看不到
0	神奇电波购买之后哪里查看	那个红绿电波那个那个软件将现在刚刚订购了为什么现在看不到
0	怎么使用这个软件	那个红绿电波那个那个软件将现在刚刚订购了为什么现在看不到
1	如何购买神奇电波	神奇电波怎么开通
0	神奇电波问题	神奇电波怎么开通
0	神奇电波购买之后如何使用	神奇电波怎么开通
0	神奇电波购买之后哪里查看	神奇电波怎么开通
1	如何查询新股中签结果	我要查询新股申购是否中签
0	申购不了新股怎么办	我要查询新股申购是否中签
1	为什么我看不到论股呢	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
0	我想咨询同花顺产品问题	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
0	软件打不开怎么办	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
0	换手机后账号登录不上去怎么办	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
0	怎么注销同花顺账号	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
0	手机号问题	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
0	无法开户怎么办	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
0	高端产品用不了怎么办	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
0	付费产品问题	哦我就是我这个,同花顺这个软件这个论股里怎么开不出来的呢
1	如何开通买卖st股票的权限	我委托买股票提示我未签约股票风险揭示书,怎么办
0	买完了,但是在持仓里看不见	我委托买股票提示我未签约股票风险揭示书,怎么办
0	为什么购买不了股票	我委托买股票提示我未签约股票风险揭示书,怎么办
0	怎么注销股票账号	我委托买股票提示我未签约股票风险揭示书,怎么办
0	关联的[机构]卡丢了怎么办	我委托买股票提示我未签约股票风险揭示书,怎么办
1	同花顺钱包在哪里	我的同花顺钱包怎么找不到啊
0	同花顺钱包如何转出	我的同花顺钱包怎么找不到啊
0	什么是同花顺钱包	我的同花顺钱包怎么找不到啊
0	同花顺钱包转出没有到账怎么办	我的同花顺钱包怎么找不到啊
0	转账为什么资金到现在还没有到账	我的同花顺钱包怎么找不到啊
1	新发基金认购能不能撤单	如何撤销认购
0	基金撤单如何操作	如何撤销认购
0	怎样撤销基金预约赎回	如何撤销认购
0	如何删除论股里发表的评论	如何撤销认购
1	手机号问题	我绑手机号,我换手机了
0	如何修改账号绑定的手机号	我绑手机号,我换手机了
0	换手机后账号登录不上去怎么办	我绑手机号,我换手机了
0	手机换号了怎么登录	我绑手机号,我换手机了
1	手机已经注册过了怎么重新注册	手机号这个原来已经注册了,重新注册怎么办
0	注册同花顺账号提示已注册怎么办	手机号这个原来已经注册了,重新注册怎么办
0	手机号问题	手机号这个原来已经注册了,重新注册怎么办
0	如何查询手机号有没有被注册过	手机号这个原来已经注册了,重新注册怎么办
0	我想注册同花顺账号	手机号这个原来已经注册了,重新注册怎么办
1	如何办理更新身份证信息	你好,我的个人信息过期了,怎么更新个人信息
0	如何修改个人信息	你好,我的个人信息过期了,怎么更新个人信息
1	基金定投为什么会提前扣款	我定投的日期是周三怎么周二就扣款了
0	申购基金后多久可以赎回	我定投的日期是周三怎么周二就扣款了
0	基金定投扣款失败的原因	我定投的日期是周三怎么周二就扣款了
0	我要终止定投要怎么做	我定投的日期是周三怎么周二就扣款了
1	[机构]账号登录不上怎么办	更新了一下软件,怎么那个基金账号就进不去了
0	软件打不开怎么办	更新了一下软件,怎么那个基金账号就进不去了
